_ID_;_MODEL_;_STATUS_;_OPTIONS_
12428;"Alles Isabella komp full cup sale";0;"select|Размер|S(36)|1|1|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75H|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75F|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12429;"Alles Isabella komp p-up sale";0;"select|Размер|S(36)|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12432;"Alles Obsession komp p-up sale";0;"select|Размер|S(36)|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|M(38)|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12437;"Corin Bella 14860 black sale";0;"select|Размер|M(38)|1|1|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75B|1|0|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Черный|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg"
12438;"Corin Jenny 14862 red sale";0;"select|Размер|M(38)|1|1|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70C|1|1|1|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12460;"WDB231303 Charmante Claret sale";1;select|Размер|42C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12461;"WP191301 Meilin sale";1;select|Размер|40B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12462;"WDT281307 Padma sale";1;select|Размер|38B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12463;"WPB281308 Symyn sale";1;select|Размер|38B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12469;"Dobranocka 2053 SBL x light blue sale";1;"image|Цвет|Лазурный|1|10|0|+|0.0000|+|0|+|0.00000000|data/colors/lazurnyj.jpg
select|Размер|XL(42)|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg"
