_ID_;_MODEL_;_OPTIONS_
12328;"Alles Monserat p-up sale";"image|Цвет|Светло-розовый|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/light_pink.jpg
select|Размер|70B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12329;"Alles Obsession p-up sale";select|Размер|70C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12330;"Alles Sandra p-up sale";select|Размер|75C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12331;"Alles Tony p-up sale";"image|Цвет|Черный|1|0|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg
select|Размер|70B|1|0|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12332;"Ava 1305 Virginia p-up sale";select|Размер|70C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12333;"Corin Bella 14860 black p-up sale";"select|Размер|75B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Черный|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg"
12334;"Corin Jenny 14862 red p-up sale";"select|Размер|75C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Красный|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/red.jpg"
12335;"Kinga 142 Corona p-up sale";"select|Размер|75B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12336;"Kinga 2372 p-up sale";"image|Цвет|Белый|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/white.jpg
select|Размер|70A|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12337;"Kinga 247 Malaga p-up sale";select|Размер|70C|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
12340;"Kinga 2496 Palace p-up sale";select|Размер|75B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12341;"Kinga 2500 End p-up sale";"select|Размер|75C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12342;"Kinga 2524 Vivienne p-up sale";select|Размер|75C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12343;"Kinga 272 Cannes p-up sale";"select|Размер|85C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|85B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|80C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75D|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75A|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70A|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12344;"Kinga 2320 Neon p-up sale";"select|Размер|75C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75A|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12345;"Kinga 2312 Vogue p-up sale";select|Размер|80A|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12346;"Kris line Valentina p-up sale";"select|Размер|75B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Красный|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/red.jpg"
12347;"11854 бюст sale";"select|Размер|80B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Черный|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/black.jpg"
12348;"Kinga 236 Luxury p-up b sale";select|Размер|70B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
12349;"Ava 1067 Hollywood bardotka white sale";"image|Цвет|Белый|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/white.jpg
select|Размер|80C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12350;"Kris line Diamond ekri push-up sale";"select|Размер|70C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Экри|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/jekri.jpg"
12351;"Kris Line Shine push-up sale";"select|Размер|85C|1|0|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|80C|1|0|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|80B|1|0|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|80A|1|0|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75D|1|0|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75B|1|0|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75A|1|0|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70D|1|0|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70C|1|0|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70B|1|0|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Черный|1|0|0|+|0.0000|+|0|+|0.00000000|data/colors/black.jpg
image|Цвет|Экри|1|0|0|-|0.0000|+|0|+|0.00000000|data/colors/jekri.jpg"
12352;"Gatta koszulka sport top sale";"select|Размер|M(38)|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Черный|1|10|1|+|0.0000|+|0|+|0.00000000|data/colors/black.jpg
image|Цвет|Телесный натуральный|1|10|1|+|0.0000|+|0|+|0.00000000|data/colors/telesnyj_naturalnyj.jpg"
12353;"Alles Padme 02 p-up sale";"select|Размер|80C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70C|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
image|Цвет|Белый|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/white.jpg"
12354;"Kinga 2384 Lila p-up sale";"image|Цвет|Экри|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/jekri.jpg
select|Размер|75A|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70A|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12355;"Ava 1156 Cambrai p-up sale";"image|Цвет|Белый|1|10|0|-|0.0000|+|0|+|0.00000000|data/colors/white.jpg
select|Размер|80B|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg"
12357;"Alles Candy Party full cup sale";"select|Размер|75G|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|75F|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70F|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70E|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg"
12359;"Alles Chanty full cup sale";select|Размер|70C|1|10|0|+|0.0000|+|0|+|0.00000000|no_image.jpg
12360;"Alles Dubai  p-up sale";"select|Размер|80D|1|10|0|-|0.0000|+|0|+|0.00000000|no_image.jpg
select|Размер|70C|1|10|1|+|0.0000|+|0|+|0.00000000|no_image.jpg"
